name,aka,oldName,active_start,active_end,operates_in_location,operates_in_country,part_of,affiliated_with,allied_with,designated_terrorist_by,wing,ideology,opponent,battles
Islamic State of Iraq and the Levant - Khorasan Province,,Islamic Movement of Uzbekistan,2015,,Kashmir,Afghanistan;Pakistan;Tajikistan,Islamic State of Iraq and the Levant,,India,,,Salafist Islamism;Salafist Jihadism,Afghanistan;Pakistan;United States of America;Taliban;Tehrik-i-Taliban,Nangarhar Offensive;Battle of Darzab;Battle of Tora Bora;Operation Khyber;Battle of Darzab;Insurgency in Jammu and Kashmir;Kashmir Conflict
Islamic State of Iraq and the Levant in Libya,,,2014,,Derna;Sirte;Benghazi;Sabha,Libya,Islamic State of Iraq and the Levant,,,,,Salafist Islamism;Salafist Jihadism,Libya;New General National Congress;Libya Shield Force;Shura Council of Mujahideen in Derna;Abu Salim Martyrs Brigade;Egypt;United States of America,
Islamic State of Iraq and the Levant - Yemen Province,,,2014,,,Yemen,Islamic State of Iraq and the Levant,,,,,Salafist Islamism;Salafist Jihadism,Yemen;Saudi Arabia;Houthis;Al-Qaeda in the Arabian Peninsula;Southern Movement,Yemeni Civil War
Jaish-e-Mohammed,,,2000,,Bahawalpur;Punjab,Pakistan,,,,,,Islamic fundamentalism,,
Jaish al-Muhajireen wal-Ansar,,Muhajireen Battalion (Katibat al-Muhajireen),2012,2015,,Syria,,,Al-Nusra Front;Suqour al-Ezz;Jabhat Ansar al-Din;Harakat Sham al-Islam;Jund al-Aqsa;Caucasus Emirate;Ajnad al-Kavkaz;Turkistan Islamic Party;Ansar al-Islam;Islamic Front;Syria Revolutionaries Front;Army of Mujahideen;13th Division,,,Salafi jihadism,Syrian Armed Forces,Syrian Civil War;Battle of Aleppo;Siege of Menagh Air Base;2013 Latakia offensive;2016 Latakia offensive;Northwestern Syria campaign;2018 Idlib crisis
Jamaat al Dawa al Quran,,,1980,,Kunar,Afghanistan,Taliban,,Al-Qaeda;Lashkar-e-Taiba,,,Salafism,Afghanistan;NATO;ISAF,Soviet war in Afghanistan;Civil war in Afghanistan;Civil war in Afghanistan;Civil war in Afghanistan;War in Afghanistan;War in Afghanistan
Jama'at Nasr al-Islam wal Muslimin,,"Al-Mourabitoun, Ansar Dine, Al-Qaeda in the Islamic Maghreb (Sahara Branch), Macina Liberation Front",2017,,,Mali;Algeria;Niger;Libya;Mauritania;Tunisia;Chad;Burkina Faso,Al-Qaeda,,Ansar ul Islam,,,Salafist jihadism;Islamism;Anti-Zionism;Antisemitism,Mali;Algeria;Tunisia;Niger;Libya;France;United States of America,
Jamaat Ul-Furquan,,,,,,,,,,,,,,
Jamaat-ul-Ahrar,,"Tehrik-i-Taliban Pakistan,faction,(Split away in August 2014)",2014,,Nangarhar Province;Khyber Pakhtunkhwa,Afghanistan,,,Islamic State of Iraq and the Levant - Khorasan Province,,,,Pakistan;United States of America,War in North-West Pakistan;Operation Zarb-e-Azb;Operation Khyber-1;Operation Ghazi
Jamaat-ul-Mujahideen Bangladesh,,,,,,,,,,,,,,
Jamiat-e Islami,,,1972,,,,,,,,Northern Alliance,Islam;Islamism;Communitarism;Afghan Tajik interests,,
Jemaah Islamiyah,,,1993,,Southeast Asia,Indonesia;Malaysia;Philippines;Singapore,,,Al-Qaeda,,,Islamism;Islamic fundamentalism;Pan-Islamism;Salafism;Wahhabism,United Nations;United States of America;United Kingdom;France;Russia;China;Netherlands;Sweden;Poland;Brunei;Indonesia;Malaysia;Myanmar;Philippines;Singapore;Thailand;Vietnam;Kazakhstan;Pakistan;Uzbekistan,
Jamaah Ansharut Tauhid,,,,,,,,,,,,,,
Jund al-Aqsa,,Sarayat al-Quds,2014,2017,Sarmin;Khan Shaykhun,Syria,Muhajirin wa-Ansar Alliance;Army of Conquest;Al-Qaeda;Al-Nusra Front,,Islamic State of Iraq and the Levant;Turkistan Islamic Party in Syria;Jaysh al-Sunna,,Ansar ut-Turkistan,Salafist jihadism,Syria;Iran;Russia;United States of America;Ahrar al-Sham;Suqour al-Sham Brigade;Sham Legion;Free Syrian Army;Tahrir al-Sham,Syrian Civil War;Inter-rebel conflict during the Syrian Civil War;2014 Hama offensive;2014 Idlib offensive;Al-Nusra Front-SRF/Hazzm Movement conflict;Second Battle of Idlib;2015 Hama offensive;2016 Khanasir offensive;2016 Hama offensive;October 2016 Idlib Governorate clashes;Idlib Governorate clashes;Military intervention against ISIL;American-led intervention in Syria;Russian military intervention in Syria
Islamic State of Iraq and the Levant - Algeria Province,,Al-Qaeda in the Islamic Maghreb faction,2014,,,Algeria,Islamic State of Iraq and the Levant,,,,,Salafism;Salafi jihadism;Wahhabism,Algeria;Morocco;Tunisia;Western Sahara,
Jund al-Sham,,,,,,,,,,,,,,
Jundallah,,,,,,,,,,,,,,
Kach and Kahane Chai,,,1971,,Jerusalem,Israel,,,,,Jewish Defense League,Orthodox Judaism;Religious Zionism;Halachic state;Kahanism;Religious conservatism;Population transfer;Economic liberalism;Anti-communism;Anti-Arabism;Anti-Islam;Ultranationalism,,
Imam Bukhari Jamaat,,,,,,,Taliban;Al-Nusra Front;Army of Conquest;Al-Qaeda;Tahrir al-Sham,,,,,,Syrian Armed Forces;Islamic State of Iraq and the Levant;Syrian Democratic Forces;Afghan National Security Forces,Syrian Civil War;Siege of Al-Fu'ah-Kafriya;Battle of Aleppo;Northwestern Syria offensive;2016 Latakia offensive;War in Afghanistan
Kanglei Yawol Kanna Lup,,,,,,,,,,,,,,
Kata'ib Hezbollah,,Special Groups,2003,,,,Popular Mobilization Forces,,Iraq;Iran;Syria;Hezbollah;Asa'ib Ahl al-Haq;Kata'ib Sayyid al-Shuhada;Badr Organization;Harakat Hezbollah al-Nujaba;Promised Day Brigade;Liwa Abu al-Fadhal al-Abbas;Saraya Ansar al-Aqeeda;Peshmerga;National Defence Forces;Al-Ashtar Brigades,,Saraya al-Dafa al-Shaabi,Iraqi nationalism;Khomeinism;Shia;Islamism;Velayat-e Faqih;Anti-Americanism;Anti-Zionism;Anti-West,Iraq;United States of America;Israel;Islamic State of Iraq and the Levant;Mojahedin-e Khalq;Free Syrian Army;Peshmerga,Iraq War;Iraqi Civil War;Salahuddin campaign;Lifting of the Siege of Amirli;Liberation of Jurf Al Sakhar;Dhuluiya offensive;Battle of Baiji;Second Battle of Tikrit;Syrian Civil War;Siege of al-Fu'ah and Kafriya;Aleppo offensive;Northern Aleppo offensive;Palmyra offensive;2017 Abu Kamal offensive;Rif Dimashq offensive
Khalistan Commando Force,,,1987,1993,,India,,,,India,,,,
Khalistan Zindabad Force,,,1988,,European Union,India,,,,,,Sikh Fundamentalism,,
Komala,,,,,,,,,,,,,,
Korean People's Army,,,1932,,,North Korea,,,,,KPA Ground Force;KPA Air Force;KPA Naval Force;Strategic Force;Special Operation Force,,,
Kurdistan Communities Union,,,,,,,,,,,Kurdistan Workers' Party (Turkey);Democratic Union Party (Syria);Kurdistan Free Life Party (Iran);Kurdistan Democratic Solution Party (Iraq);Kurdistan Communities of Women (KJK),,,
Kurdistan Democratic Party/North,KDP-Bakur,,1992,,Qandil Mountains,,,,,,,Kurdish nationalism;Separatism,,
Kurdistan Freedom Hawks,,,2004,,,Turkey,,,,,,Kurdish nationalism;Separatism,Turkey,Kurdish-Turkish conflict
Kurdistan Workers' Party,,,1978,,Qandil Mountains,,,Peoples' United Revolutionary Movement;Kurdistan Communities Union,,,People's Defence Forces;Free Women's Units,Kurdish nationalism;Communalism;Democratic confederalism;Jineology;Anti-capitalism,,
Lashkar-e-Taiba,,,1986,,Muridke;Punjab;Kashmir,Pakistan;Afghanistan;Bangladesh,,,,United States of America;Australia;India;United Kingdom;European Union,,Ahl al-Hadith,,
Lashkar-e-Jhangvi,,,1996,,,Afghanistan;Pakistan,,,,Australia;Canada;European Union;Pakistan;United Kingdom;United States of America,,Sunni supremacism;Deobandi fundamentalism;Salafi jihadism;Anti-Shi'ism,,
Liberation Tigers of Tamil Eelam,Tamil Tigers,,1976,,,,,,,,,Tamil nationalism;Separatism;Revolutionary socialism;Secularism,,
Libyan Islamic Fighting Group,,,1995,2017,,Libya,,,,United States of America;United Kingdom;United Nations,,Salafi jihadism,,
Loyalist Volunteer Force,,Ulster Volunteer Force,1996,2005,Portadown;Northern Ireland;,Ireland,,,Red Hand Defenders;Combat 18,,Young Loyalist Volunteers;Red Hand Defenders,Ulster loyalism,Irish republicans;Irish nationalists;Irish Catholics;British Army;Royal Ulster Constabulary;Police Service of Northern Ireland;Ulster Volunteer Force,
Luhansk People's Republic,,,2014,,,,,,,,,,,
Indonesian Mujahedeen Council,,,,,,,,,,,,,,
Maoist Communist Centre of India,,,1975,,,,,,,,,Marxism;Leninism;Maoism,,
Marxist-Leninist Communist Party,,,,,,,,,,,,,,
Moroccan Islamic Combatant Group,,,1990,,Western Europe,Morocco;Spain;Afghanistan;Iraq;Syria;Canada;Brazil,,,Al-Qaeda;Al-Qaeda in the Islamic Maghreb;Salafia Jihadia;Libyan Islamic Fighting Group;Tunisian Combatant Group,,,Salafi jihadism,Morocco;Iraq,
Movement for Oneness and Jihad in West Africa,,Al-Qaeda in the Islamic Maghreb,2011,2013,,Algeria;Mali;Niger,,,Ansar Dine;Al-Qaeda in the Islamic Maghreb,,,,,Northern Mali conflict;Battles of Gao and Timbuktu;Battle of Menaka;Battle of Ifoghas
East Indonesia Mujahideen,,,,,Poso;Sulawesi,Indonesia,Islamic State of Iraq and the Levant,,Abu Sayyaf,,,Islamism;Islamic fundamentalism,Indonesia;Turkey;United States of America,
Mujahideen Shura Council in the Environs of Jerusalem,,,2012,,Gaza Strip,,Islamic State of Iraq and the Levant,,Sinai Province;Sheikh Omar Hadid Brigade,,,,Israel;Egypt;Hamas,
Muslim Brotherhood,,,1928,,,Egypt,,,,,,Sunni;Islamism;Social conservatism;Religious conservatism;Anti-communism,,
National Action,,,,,,,,,,,,,,
National Democratic Front of Boroland,,Bodo Security Force,1986,,Assam,Myanmar;India,,,UNLFW,,National Council  Wing;Boroland Army ,Ethnic nationalism;Marxism;Socialism;Democracy,India;Bhutan,Insurgency in Northeast India
National Liberation Army,,,,,,,,,,,,,,
National Liberation Front of Tripura,,,1989,,Tripura,India,,,,,,Tripuri nationalism;Separatism;Christian extremism,Tripura,
Orange Volunteers,,,1998,,Northern Ireland,,,,,,,Ulster loyalism;Protestant fundamentalism;Anti-Catholicism,,
Palestinian Liberation Front,,,1961,,Ramallah,Palestine,,Palestine Liberation Organization,,,,Arab nationalism,,
Islamic Jihad Movement in Palestine,,,1987,,Gaza Strip,,,,,Australia;Canada;European Union;Japan;New Zealand;United Kingdom;United States of America,,Palestinian nationalism;Islamic nationalism;Islamism;Anti-Zionism,,
Palestinian Relief Development Fund - Interpal,,,,,,,,,,,,,,
Kurdistan Free Life Party,,,2004,,,,,Kurdistan Communities Union,,,Eastern Kurdistan Units;Women's Defence Forces,Kurdish nationalism;Democratic confederalism;Democratic socialism,,
People's Liberation Army of Manipur,,,1978,,Manipur;Northeast India,India,,,,,,Maoism,India;Myanmar,
People's Mujahedin of Iran,"MEK, MKO, PMOI",,1965,,Paris;Tirana;Camp Liberty;Camp Ashraf;Tehran,Albania;France;Albania;Iraq;Iran,,,,,National Liberation Army;National Council of Resistance,Shia Islam,,
People's Revolutionary Party of Kangleipak,,,,,,,,,,,,,,
Popular Front for the Liberation of Palestine,,,1967,,,,,Palestine Liberation Organization;Democratic Alliance List;International Communist Seminar,,,Abu Ali Mustapha Brigades,"Arab nationalism;Palestinian nationalism;Pan-Arabism;Secularism;Marxism;Leninism;Anti-imperialism;Anti-Zionism,;Democratic socialism;One-state solution",,
Popular Front for the Liberation of Palestine - General Command,,,1968,,Damascus,Syria,,Syrian Government,,,Jihad Jibril Brigades,Arab nationalism;Palestinian nationalism,,
Promised Day Brigade,PDB,"Mahdi Army, Muqawimun",2008,2014,Sadr City;Baghdad,Iraq;Syria,Special Groups,,Syria;Iran;Asa'ib Ahl al-Haq;Kata'ib Hezbollah;Other Special Groups,,,,United States of America;Iraq;MNF-I;Free Syrian Army;Islamic State of Iraq and the Levant,Iraq War;Syrian Civil War
Provisional Irish Republican Army,,"Irish Republican Army,(IRA)",1969,1998,England;Europe,Ireland,,,Irish Republic,,,National liberation war;Irish republicanism;Irish nationalism,United Kingdom;British Army;Royal Ulster Constabulary;Ulster loyalist paramilitaries;Official IRA;Irish People's Liberation Organisation,
Quds Force,,,1980,,,Iran,,,,,,,,Iran-Iraq War;1982 Lebanon War;Bosnian War;South Lebanon conflict;Battle for Herat;Balochistan conflict;Iran-PJAK conflict;Syrian Civil War;2014 Northern Iraq offensive;Military intervention against ISIL;Siege of Amirli;Liberation of Jurf Al Sakhar;Battle of Baiji;Liberation of Tikrit
Real Irish Republican Army,,,1997,,Northern Ireland,Ireland;United Kingdom,,,Continuity Irish Republican Army;Óglaigh na hÉireann,,,Dissident republicanism;Physical force Irish republicanism;Left-wing nationalism;Socialism,British Army;Police Service of Northern Ireland;An Garda Siochana;Irish Defence Forces,
Red Hand Commando,,,1972,2009,Belfast;Northern Ireland,Ireland,,,Ulster Volunteer Force,,RHC Youth;Progressive Unionist Party,British unionism;Ulster loyalism,Irish nationalists,
Red Hand Defenders,,,1998,,Northern Ireland,,,,,,,Ulster loyalism,,
Revolutionary Armed Forces of Colombia,,,1964,2017,Casa Verde;Los Pozos,Colombia;Peru;Venezuela;Brazil;Panama;Ecuador;Mexico;Paraguay;Bolivia,,,Euskadi Ta Askatasuna;National Liberation Army;Provisional Irish Republican Army,,,Marxism;Leninism;Guevarism;Bolivarianism;Revolutionary socialism;Left-wing nationalism;Foco theory,Colombia;United States of America,
Revolutionary Organization 17 November,,,1975,2002,,Greece,,,,,,Marxism;Communism;Anti-capitalism;Left-wing nationalism;Anti-Americanism;Anti-imperialism,,
Revolutionary Party of Kurdistan,,"Sociality Unity Party of Kurdistan,United People's Party of Kurdistan",1960,,Turkish Kurdistan;Iraqi Kurdistan,Turkey,,,,,,Kurdish nationalism;Marxism-Leninism,Turkey,Kurdish-Turkish conflict
Revolutionary People's Liberation Party/Front,DHKP-C,,1994,,,,,,,,,Communism;Marxism;Leninism;Anti-imperialism;Socialist patriotism;Guevarism,,
Revolutionary Struggle,,,2003,,,Greece,,,,,,Anarchist communism;Platformism;Anti-imperialism;Anti-globalisation,,
Saor √âire,,,1931,1931,,Ireland,,,,,,Irish republicanism;Communism;Pro-Soviet,,
The Saved Sect,,,,,,,,,,,,,,
Saraya al-Ashtar,,,,,,,,,,,,,,
Shining Path,PCP,,1966,,,,,Revolutionary Internationalist Movement,,,People's Guerrilla Army,Communism;Marxism;Leninism;Maoism;Anti-revisionism;Gonzalo Thought,,
Shura Council of Benghazi Revolutionaries,,,2014,,,,,,,,,Islamism;Jihadism,Operation Dignity coalition,Second Libyan Civil War
Sipah-e-Sahaba Pakistan,,,,,,,,,,,,,,
Society of the Revival of Islamic Heritage,,,,,,,,,,,,,,
Students Islamic Movement of India,SIMI,,1977,,,India,,,,,,,,
Hayat Tahrir al-Sham,HTS,"Al-Nusra Front,(al-Qaeda in Syria),Ansar al-Din Front,Nour al-Din al-Zenki Movement,[20],(January-July 2017),Liwa al-Haqq,Jaysh al-Sunna,(Idlib and Aleppo)",2017,,Idlib,Syria;Lebanon,Al-Qaeda,,Syrian Salvation Governmen;Turkistan Islamic Party;Ansar al-Islam;Soldiers of the Caucasus;Katiba Abd Ar-Rahman;Katibat Jabal al-Islam;Caucasus Emirate;Junud al-Makhdi;Malhama Tactical;Katibat al-Ghuraba al-Turkistan;Army of Glory,,,Sunni;Islamism;Salafism;Salafist jihadism;Wahhabism,Syria;Iran;Russia;Lebanon;United States;Turkey;Syrian Democratic Forces;Liwa Zainebiyoun;Liwa Fatemiyoun;Free Syrian Army;Syrian National Army;National Front for Liberation;National Liberation Movement;Men of God Brigade;Hezbollah;Al-Abbas brigade;Harakat Hezbollah al-Nujaba;Islamic State,Syrian Civil War;Inter-rebel conflict during the Syrian Civil War;Idlib Governorate clashes;Syrian Liberation Front-Tahrir al-Sham conflict;Siege of al-Fu'ah and Kafriya;Daraa offensive;ISIL Daraa offensive;Qaboun offensive;2017 Hama offensive;Daraa offensive;Quneitra offensive;Syrian Civil War spillover in Lebanon;Qalamoun offensive;Military intervention against ISIL;American-led intervention in Syria;Russian military intervention in Syria;East Ghouta inter-rebel conflict;Turkish military operation in Idlib Governorate;Northwestern Syria campaign;2018 Southern Syria offensive;2018 Idlib crisis;5th Idlib inter-rebel conflict
Taliban,,"Students of,Jamiat Ulema-e-Islam",1994,,Kandahar;Quetta;Peshawar,Afghanistan;Pakistan,,,Pakistan;Saudi Arabia;Tehrik-i-Taliban Pakistan;Haqqani network;Al-Qaeda;Tehreek-e-Nafaz-e-Shariat-e-Mohammadi;Caucasus Emirate;Lashkar-e-Jhangvi;Hezb-e Islami Gulbuddin;Islamic Movement of Uzbekistan,,,Deobandi;fundamentalism;ashtunwali;Religious nationalism;Salafism,Afghanistan;India;United States of America;NATO;ISAF;Islamic State of Iraq and the Levant - Khorasan Province;Khorasan Province;Jamiat-e Islami;Junbish-i-Milli;Hezbe Wahdat,Afghan Civil War;War in Afghanistan
Tehreek-e-Nafaz-e-Shariat-e-Mohammadi,,,1992,,,Pakistan,,,,,,Deobandi fundamentalism,,
Tehrik-i-Taliban Pakistan,,,2007,,,,,,Afghanistan;India;Al-Qaeda;IMU;Sipah-e-Sahaba Pakistan;Lashkar-e-Jhangvi;Harkat-ul-Jihad al-Islami,,,Deobandi fundamentalism,United States of America;Pakistan,War in Afghanistan;War in North-West Pakistan;Operation Zarb-e-Azb;Operation Radd-ul-Fasaad
Tamil Nadu Liberation Army,,,,,,,,,,,,,,
Tamil National Retrieval Troops,,,,,,,,,,,,,,
Tanzim,,,,,,,,,,,,,,
Ulster Defence Association,,,1971,,Belfast;Northern Ireland,Ireland,,,Loyalist Volunteer Force;Red Hand Defenders,,Ulster Young Militants;Ulster Political Research Group,Ulster loyalism;Protestant extremism;British unionism;Right-wing politics;Ulster nationalism;Anti-Catholicism,Irish Republican Army;Irish National Liberation Army;Irish People's Liberation Organization;Irish republicans;Irish nationalists,
Ulster Volunteer Force,,,1966,,Belfast;Northern Ireland,Ireland,,,Red Hand Commando,,Young Citizen Volunteers;Protestant Action Force;Progressive Unionist Party,Ulster loyalism;Irish unionism;Protestant extremism;Anti-Catholicism,Provisional IRA;Official IRA;Irish National Liberation Army;Irish People's Liberation Organization;Irish republicans;Irish nationalists;An Garda Siochana;British Army;Loyalist Volunteer Force,
United Liberation Front of Assam,,,1979,,Assam,Myanmar;China;Bhutan;India,,,UNLFW,,Political Wing;Sanjukta Mukti Fouj,Ethnic nationalism;Marxism;Socialism,India,Insurgency in Northeast India
United National Liberation Front,UNLF,,1964,,Manipur,,,,,,,,,
United Self-Defense Forces of Colombia,"Paramilitaries, Paras, Paracos",,1997,2008,,Colombia,,,,,,,,Colombian Armed Conflict
Vanguards of Conquest,,,,,,,,,,,,,,
Workers' Party of Korea,,,1949,,,North Korea,,Democratic Front for the Reunification of the Fatherland;International Meeting of Communist and Workers' Parties,,,Korean People's Army;Kimilsungist-Kimjongilist Youth League;Korean Children's Union,Juche;Songun,,
World Tamil Movement,,,1986,,Toronto,Canada,,,,,,,,
World Uyghur Congress,WUC,,2004,,Munich,Germany,,World Uyghur Youth Congress;East Turkestan National Congress;Unrepresented Nations and Peoples Organization,,,,,,
Yarmouk Martyrs Brigade,,,2012,2016,Jamlah,Syria,Southern Front;Islamic State of Iraq and the Levant,,Islamic State of Iraq and the Levant;Jaysh al-Jihad;Islamic Muthanna Movement,,,,Syria;al-Nusra Front;Free Syrian Army,Syrian Civil War;Quneitra Governorate clashes;2013 Daraa offensive;First Battle of Al-Shaykh Maskin;Inter-rebel conflict during the Syrian Civil War;Daraa offensive
Sheikh Omar Hadid Brigade,,,,,,,,,,,,,,
Islamic State of Iraq and the Levant - Sinai Province,ISIL-SP,,,,,,,,,,,,,
Turkistan Islamic Party in Syria,TIP,,,,,,,,,,,,,
Guardians of Religion,,,,,,,,,,,,,,
White Flags,,,,,,,,,,,,,,
Peace Companies,,Promised Day Brigade,,,,,,,,,,,,
Khalid ibn al-Walid Army,,Yarmouk Martyrs Brigade,,,,,,,,,,,,
Army of Jihad,,,,,,,,,,,,,,
Islamic Muthanna Movement,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,